,district,HouseType,Building,Object status,Location of the house,Object location,House type,The floor,Usable area,Land area,Parking,Year of reconstruction,Water,Transport,Energy efficiency of the building,Equipment,Lift,companyName,proximityIndex,Index,Built-up area,Store,Garage,Gas,Garden area,Year of approval,Swimming pool,Cena,Floor area,Indicator of energy efficiency of the building,Certificate of energy performance of the building,Barrier-free,Ceiling height,Housing costs,Number of flats,Starting price,Expert opinion,Minimum bid,Auction principal,Type of auction,Place of auction,The date of the auction,The date of the 1st inspection,The date of the 2nd inspection,Auction decree,Expert opinion.1,Pool area,Condition,Date of completion of construction,Soil construction,Sale start date,Inspection date,Inspection date to,Minimum purchase price,Share size,Number of owners,locationLat,locationLong,price,lokální plynové,heating_unknown,ústřední plynové,lokální tuhá paliva,jiné,lokální elektrické,ústřední tuhá paliva,ústřední elektrické,ústřední dálkové,podlahové,veřejná kanalizace,jímka,čov pro celý objekt,septik,garbage_unknown,trativod,230v,400v,electricity_unknown,120v,telecommunication_unknown,telefon,internet,kabelové rozvody,satelit,kabelová televize,ostatní,communication_unknown,asfaltová,neupravená,dlážděná,betonová,zpevněná,šotolina,štěrková,provize,právního,dph,poplatků,cena k jednání
6833,praha-9,"vily
",Cihlová,Po rekonstrukci,Samostatný,,Přízemní,1,450,776.0,6.0,,Dálkový vodovod,"Vlak, Silnice, MHD, Autobus",Třída E - Nehospodárná č. 264/2020 Sb. podle vyhlášky,1,,"Roltin s.r.o.– Qara, s.r.o.",989.3,7061,177.0,1,1.0,,599.0,,,,300.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,50.1105638,14.6098476,23000000,,,True,,,,,,,,True,,,,,,True,True,,,,True,True,True,True,,,,,,,,True,True,True,True,True,,,
3069,benesov,"rodinne-domy
",Cihlová,Novostavba,Samostatný,Klidná část obce,Přízemní,1,142,877.0,3.0,,Dálkový vodovod,"Silnice, Autobus",Třída B - Velmi úsporná č. 148/2007 Sb. podle vyhlášky,Částečně,0.0,M&M reality,618.8666666666667,3158,,,,,,,,,,"90,0 kWh/m^2 za rok",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,49.8592553,14.6981901,16999999,,,,,True,,,,,,True,,,,,,True,,,True,True,,,,,,,True,,,,,,,,,,,,
10692,trutnov,"rodinne-domy
",Smíšená,Velmi dobrý,,,Patrový,,231,79.0,,,,,,,,Sofix s.r.o.,2274.0,11037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4513129,15.904787,2490000,,True,,,,,,,,,,,,,True,,,,True,,True,,,,,,,True,,,,,,,,,,,,
8511,jihlava,"rodinne-domy
",Smíšená,Ve výstavbě,Rohový,,Patrový,2,400,655.0,1.0,,,,Třída G - Mimořádně nehospodárná č. 78/2013 Sb. podle vyhlášky,0,,RE/MAX Well 2,1607.6666666666667,8802,300.0,1,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2360777,15.6051608,2200000,,True,,,,,,,,,,,,,True,,,,True,,True,,,,,,,True,,,,,,,,True,True,,True,
11382,liberec,"rodinne-domy
",Smíšená,Dobrý,,,Patrový,,200,178.0,,,,,,,,OLYMP - realitní kancelář,677.5625,11752,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7657554,14.7614324,3650000,,True,,,,,,,,,,,,,True,,,,True,,True,,,,,,,True,,,,,,,,,,,,
2306,louny,"zemedelske-usedlosti
",Cihlová,Dobrý,Samostatný,Klidná část obce,Přízemní,2 včetně 1 podzemního,407,1525.0,2.0,1985.0,Místní zdroj,"Silnice, Autobus",Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,1,0.0,M&M reality,3185.2,2359,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,50.3087437,13.4939023,3600000,,,,True,,True,,,,,,,,True,,,True,,,True,,,True,,,,,True,,,,,,,,True,,,,
13945,kromeriz,"rodinne-domy
",Smíšená,Velmi dobrý,Řadový,Centrum obce,Patrový,2,171,439.0,1.0,,Dálkový vodovod,Silnice,Třída G - Mimořádně nehospodárná č. 148/2007 Sb. podle vyhlášky,Částečně,0.0,M&M reality,2572.470588235294,14413,,,1.0,,,,,,,"494,0 kWh/m^2 za rok",,,,,,,,,,,,,,,,,,,,,,,,,,,49.3615187,17.5643639,2500000,,,,True,,,,,,,,True,,True,,,,True,,,True,,,,,,,True,,,,,,,,True,,,,
8665,pelhrimov,"rodinne-domy
",Cihlová,Dobrý,Řadový,Centrum obce,Patrový,2,212,693.0,,,,,Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,0,,RE/MAX Well 2,2794.25,8957,294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.306928,15.2763979,3990000,,True,,,,,,,,,,,,,True,,,,True,,True,,,,,,,True,,,,,,,,,,,,
6746,praha-9,"rodinne-domy
",Cihlová,Po rekonstrukci,V bloku,,Patrový,2,110,139.0,1.0,,"Dálkový vodovod, Studna","Vlak, Silnice, MHD, Autobus",Třída G - Mimořádně nehospodárná č. 264/2020 Sb. podle vyhlášky,Částečně,,QARA s.r.o.,1230.7142857142858,6971,76.0,1,,Plynovod,63.0,,,,110.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,50.1300089,14.5460364,10999000,,,True,,,,,,,,True,,,,,,True,True,,,,True,True,,,,,,,,True,,,,,,,,,
7561,jindrichuv-hradec,"chalupy
",Smíšená,V rekonstrukci,V bloku,Klidná část obce,Patrový,2 včetně 1 podzemního,86,136.0,,,Dálkový vodovod,"Silnice, Autobus",,Částečně,0.0,JAN Reality,2043.8461538461536,7825,,12 m2,,,363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.18173125,15.295240346095888,984000,,,,True,,,,,,,,,,,,True,True,True,,,True,,,,,,,,True,,,,,,,True,True,True,True,
